文件,节点类型,键,值,desc文本,行号,命名空间
objects.svg,rect,other_floor_3,apartment1_normal_windows,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_4,apartment1_normal_windows,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_color,fill,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_color_variance,0.0 0.0 0.2,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_texture,wall_atlas1.png,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_texture_atlas_cell,1 0 2 2,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_texture_scale,8.0 8.0,"name = BuildingShop2; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = shop1; 1st_floor_2 = shop1; 1st_floor_3 = shop1; 1st_floor_4 = shop1; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,name,apartment1_normal_windows,"name = apartment1_normal_windows; sequence = apartment1_window; sequence = apartment1_window; sequence = apartment1_window; sequence = empty;",,
objects.svg,rect,sequence,apartment1_window,"name = apartment1_normal_windows; sequence = apartment1_window; sequence = apartment1_window; sequence = apartment1_window; sequence = empty;",,
objects.svg,rect,sequence,apartment1_window,"name = apartment1_normal_windows; sequence = apartment1_window; sequence = apartment1_window; sequence = apartment1_window; sequence = empty;",,
objects.svg,rect,sequence,apartment1_window,"name = apartment1_normal_windows; sequence = apartment1_window; sequence = apartment1_window; sequence = apartment1_window; sequence = empty;",,
objects.svg,rect,sequence,empty,"name = apartment1_normal_windows; sequence = apartment1_window; sequence = apartment1_window; sequence = apartment1_window; sequence = empty;",,
objects.svg,rect,name,BuildingWhite4,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,color,stroke,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,color_variance,0.0 0.0 0.3,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,detail_texture,wall_atlas1.png,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,detail_texture_atlas_cell,2 1 8 8 0.0078125 0.0078125,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,detail_texture_scale,3 3,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,atlas_texture,building_atlas3.png,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_1,apartment1_1st_floor,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_2,apartment1_1st_floor_really_empty,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_3,apartment1_1st_floor,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_4,apartment1_1st_floor_really_empty,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_1,apartment1_normal_windows,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_2,apartment1_normal_windows,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_3,apartment1_normal_windows,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_4,apartment1_normal_windows,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_color,fill,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_color_variance,0.01 0.1 0.1,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_texture,wall_atlas1.png,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_texture_atlas_cell,1 0 2 2,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,roof_texture_scale,8.0 8.0,"name = BuildingWhite4; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; atlas_texture = building_atlas3.png; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_really_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_really_empty; other_floor_1 = apartment1_normal_windows; other_floor_2 = apartment1_normal_windows; other_floor_3 = apartment1_normal_windows; other_floor_4 = apartment1_normal_windows; roof_color = fill; roof_color_variance = 0.01 0.1 0.1; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,index,0,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,texture,dirt.png,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,scale,0.015 0.015,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,auto_decoration_texture,ground_decoration.png,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,auto_decoration_texture_atlas_cell,0 1 2 2,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,auto_decoration_texture_atlas_cell,1 1 2 2,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,auto_decoration_multiplier,4,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,auto_decoration_size,0.15,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,auto_decoration_density,0.05,"index = 0; texture = dirt.png; scale = 0.015 0.015; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 1 2 2; auto_decoration_texture_atlas_cell = 1 1 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.15; auto_decoration_density = 0.05;",,
objects.svg,rect,index,1,"index = 1; texture = sand.png; alpha = terrain5_alpha_sand.png; scale = 0.01 0.01; outline = 1; outline_color = fill;",,
objects.svg,rect,texture,sand.png,"index = 1; texture = sand.png; alpha = terrain5_alpha_sand.png; scale = 0.01 0.01; outline = 1; outline_color = fill;",,
objects.svg,rect,alpha,terrain5_alpha_sand.png,"index = 1; texture = sand.png; alpha = terrain5_alpha_sand.png; scale = 0.01 0.01; outline = 1; outline_color = fill;",,
objects.svg,rect,scale,0.01 0.01,"index = 1; texture = sand.png; alpha = terrain5_alpha_sand.png; scale = 0.01 0.01; outline = 1; outline_color = fill;",,
objects.svg,rect,outline,1,"index = 1; texture = sand.png; alpha = terrain5_alpha_sand.png; scale = 0.01 0.01; outline = 1; outline_color = fill;",,
objects.svg,rect,outline_color,fill,"index = 1; texture = sand.png; alpha = terrain5_alpha_sand.png; scale = 0.01 0.01; outline = 1; outline_color = fill;",,
objects.svg,rect,index,2,"index = 2; texture = grass.png; alpha = terrain5_alpha_grass.png; scale = 0.01 0.01; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 0 2 2; auto_decoration_texture_atlas_cell = 1 0 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.5; auto_decoration_density = 0.6; outline = 1; outline_color = fill;",,
objects.svg,rect,texture,grass.png,"index = 2; texture = grass.png; alpha = terrain5_alpha_grass.png; scale = 0.01 0.01; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 0 2 2; auto_decoration_texture_atlas_cell = 1 0 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.5; auto_decoration_density = 0.6; outline = 1; outline_color = fill;",,
objects.svg,rect,alpha,terrain5_alpha_grass.png,"index = 2; texture = grass.png; alpha = terrain5_alpha_grass.png; scale = 0.01 0.01; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 0 2 2; auto_decoration_texture_atlas_cell = 1 0 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.5; auto_decoration_density = 0.6; outline = 1; outline_color = fill;",,
objects.svg,rect,scale,0.01 0.01,"index = 2; texture = grass.png; alpha = terrain5_alpha_grass.png; scale = 0.01 0.01; auto_decoration_texture = ground_decoration.png; auto_decoration_texture_atlas_cell = 0 0 2 2; auto_decoration_texture_atlas_cell = 1 0 2 2; auto_decoration_multiplier = 4; auto_decoration_size = 0.5; auto_decoration_density = 0.6; outline = 1; outline_color = fill;",,
