节点类型,inkscape:label,键名,值,值个数
rect,#mesh_template,mesh_name,tropical_plant_11.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_12.mesh,55
rect,#mesh_template,mesh_name,windmill.mesh,55
rect,#mesh_template,mesh_name,world_statue.mesh,55
rect,#mesh_template,name,barell_blue,64
rect,#mesh_template,name,barell_green,64
rect,#mesh_template,name,barell_red,64
rect,#mesh_template,name,bench,64
rect,#mesh_template,name,buddha,64
rect,#mesh_template,name,bush0,64
rect,#mesh_template,name,bush1,64
rect,#mesh_template,name,bush2,64
rect,#mesh_template,name,bush3,64
rect,#mesh_template,name,bush3_1,64
rect,#mesh_template,name,bush4,64
rect,#mesh_template,name,bush5,64
rect,#mesh_template,name,chairset_chair,64
rect,#mesh_template,name,chairset_table,64
rect,#mesh_template,name,church,64
rect,#mesh_template,name,concrete_barrier,64
rect,#mesh_template,name,container_blue,64
rect,#mesh_template,name,container_green,64
rect,#mesh_template,name,container_red,64
rect,#mesh_template,name,enclosure,64
rect,#mesh_template,name,hedgehog,64
rect,#mesh_template,name,obelisk,64
rect,#mesh_template,name,palmtree_1,64
rect,#mesh_template,name,parasol_green,64
rect,#mesh_template,name,parasol_red,64
rect,#mesh_template,name,parasol_yellow,64
rect,#mesh_template,name,post1_3,64
rect,#mesh_template,name,post1_4,64
rect,#mesh_template,name,rock_b1,64
rect,#mesh_template,name,rock_b2,64
rect,#mesh_template,name,rock_b3,64
rect,#mesh_template,name,rock_b4,64
rect,#mesh_template,name,rock_h3,64
rect,#mesh_template,name,rock_m1,64
rect,#mesh_template,name,rock_m2,64
rect,#mesh_template,name,rock_m3,64
rect,#mesh_template,name,rock_m4,64
rect,#mesh_template,name,rock_s2,64
rect,#mesh_template,name,rock_s3,64
rect,#mesh_template,name,rock_s4,64
rect,#mesh_template,name,stone_1,64
rect,#mesh_template,name,stone_2,64
rect,#mesh_template,name,stone_3,64
rect,#mesh_template,name,stone_4,64
rect,#mesh_template,name,stone_5,64
rect,#mesh_template,name,streetlight,64
rect,#mesh_template,name,sunchair_blue,64
rect,#mesh_template,name,sunchair_green,64
rect,#mesh_template,name,sunchair_red,64
rect,#mesh_template,name,sunchair_yellow,64
rect,#mesh_template,name,tropical_plant_01,64
rect,#mesh_template,name,tropical_plant_02,64
rect,#mesh_template,name,tropical_plant_03,64
rect,#mesh_template,name,tropical_plant_04,64
rect,#mesh_template,name,tropical_plant_05,64
rect,#mesh_template,name,tropical_plant_06,64
rect,#mesh_template,name,tropical_plant_07,64
rect,#mesh_template,name,tropical_plant_08,64
rect,#mesh_template,name,tropical_plant_09,64
rect,#mesh_template,name,tropical_plant_10,64
rect,#mesh_template,name,tropical_plant_11,64
rect,#mesh_template,name,tropical_plant_12,64
rect,#mesh_template,name,windmill,64
rect,#mesh_template,name,world_statue,64
rect,#mesh_template,penetrability,0.2,5
rect,#mesh_template,penetrability,0.4,5
rect,#mesh_template,penetrability,0.5,5
rect,#mesh_template,penetrability,0.7,5
rect,#mesh_template,penetrability,0.9,5
rect,#mesh_template,see_through,1,1
rect,#mesh_template,static_object_type_key,fuel_barrel.static_object,3
rect,#mesh_template,static_object_type_key,parasol.static_object,3
rect,#mesh_template,static_object_type_key,sunchair.static_object,3
rect,#mesh_template,texture0,bushes_atlas.png,4
rect,#mesh_template,texture0,church.png,4
rect,#mesh_template,texture0,tropical_plants_atlas.png,4
rect,#mesh_template,texture0,world_atlas1.png,4
rect,#mesh_template,texture0_atlas_cell,0 0 128 128,23
rect,#mesh_template,texture0_atlas_cell,0 1 128 128,23
rect,#mesh_template,texture0_atlas_cell,0 3 4 4,23
rect,#mesh_template,texture0_atlas_cell,0 4 16 8,23
rect,#mesh_template,texture0_atlas_cell,1 1 128 128,23
rect,#mesh_template,texture0_atlas_cell,1 3 4 4,23
rect,#mesh_template,texture0_atlas_cell,1 8 16 16,23
rect,#mesh_template,texture0_atlas_cell,10 16 32 32,23
rect,#mesh_template,texture0_atlas_cell,11 16 32 32,23
rect,#mesh_template,texture0_atlas_cell,2 1 8 8,23
rect,#mesh_template,texture0_atlas_cell,2 2 16 32,23
rect,#mesh_template,texture0_atlas_cell,4 0 16 16,23
rect,#mesh_template,texture0_atlas_cell,4 1 32 32,23
rect,#mesh_template,texture0_atlas_cell,4 3 32 32,23
rect,#mesh_template,texture0_atlas_cell,5 0 32 32,23
rect,#mesh_template,texture0_atlas_cell,5 1 32 32,23
rect,#mesh_template,texture0_atlas_cell,6 0 32 32,23
rect,#mesh_template,texture0_atlas_cell,6 1 32 32,23
rect,#mesh_template,texture0_atlas_cell,7 0 32 32,23
rect,#mesh_template,texture0_atlas_cell,7 0 64 64,23
rect,#mesh_template,texture0_atlas_cell,7 1 32 32,23
rect,#mesh_template,texture0_atlas_cell,8 16 32 32,23
rect,#mesh_template,texture0_atlas_cell,9 16 32 32,23
rect,#mesh_template,texture0_rect,0 0.125 0.125 0.3125,4
rect,#mesh_template,texture0_rect,0 0.3125 0.125 0.5,4
rect,#mesh_template,texture0_rect,0.125 0.125 0.25 0.3125,4
rect,#mesh_template,texture0_rect,0.75 0.03125 0.875 0.125,4
rect,#mesh_template,texture1,world_atlas1.png,1
rect,#mesh_template,visual_hitbox_offset,,2
rect,#mesh_template,visual_hitbox_offset,0 0 0,2
rect,#mesh_template,visual_hitbox_size,2 2 2,2
rect,#mesh_template,visual_hitbox_size,3.5 14 3.5,2
rect,#mesh_template,walkable,0,2
rect,#mesh_template,walkable,1,2
rect,#rect10726,template,parking_line,1
rect,#rect10748,height,3.0,1
rect,#rect10748,merge,1,1
rect,#rect10748,name,flower,6
rect,#rect10748,name,manhole,6
rect,#rect10748,name,pavement1,6
rect,#rect10748,name,pavement_tile1,6
rect,#rect10748,name,roof_tile1,6
rect,#rect10748,name,tree_ground_base1,6
rect,#rect10748,template,RuinWall1,8
rect,#rect10748,template,clover,8
rect,#rect10748,template,flower,8
rect,#rect10748,template,manhole,8
rect,#rect10748,template,pavement1,8
rect,#rect10748,template,pavement_tile1,8
rect,#rect10748,template,pickup_broken,8
rect,#rect10748,template,roof_tile1,8
rect,#rect10748,texture0,decal_decoration_atlas.png,1
rect,#rect10748,texture0_atlas_cell,0 0 32 32 0 0,5
rect,#rect10748,texture0_atlas_cell,3 2 4 4,5
rect,#rect10748,texture0_atlas_cell,3 3 4 4,5
rect,#rect10748,texture0_atlas_cell,4 7 8 8,5
rect,#rect10748,texture0_atlas_cell,5 6 8 8,5
rect,#rect10970,template,roadline,1
rect,#rect11324_base,capturable,0,1
rect,#rect11324_base,faction_index,0,2
rect,#rect11324_base,faction_index,1,2
rect,#rect11324_base,name,Church,10
rect,#rect11324_base,name,Docks,10
rect,#rect11324_base,name,East Beach,10
rect,#rect11324_base,name,East farm,10
rect,#rect11324_base,name,East town,10
rect,#rect11324_base,name,Ranch,10
rect,#rect11324_base,name,Shop lane,10
rect,#rect11324_base,name,Villa,10
rect,#rect11324_base,name,West End,10
rect,#rect11324_base,name,West end,10
rect,#rect14879,name,cracks_1,7
rect,#rect14879,name,cracks_2,7
rect,#rect14879,name,cracks_3,7
rect,#rect14879,name,cracks_4,7
rect,#rect14879,name,cracks_5,7
rect,#rect14879,name,cracks_6,7
rect,#rect14879,name,cracks_7,7
rect,#rect14879,template,cracks_1,7
rect,#rect14879,template,cracks_2,7
rect,#rect14879,template,cracks_3,7
rect,#rect14879,template,cracks_4,7
rect,#rect14879,template,cracks_5,7
rect,#rect14879,template,cracks_6,7
rect,#rect14879,template,cracks_7,7
rect,#rect14879,texture0,decal_decoration_atlas.png,1
rect,#rect14879,texture0_atlas_cell,0 6 8 8,7
rect,#rect14879,texture0_atlas_cell,0 7 8 8,7
rect,#rect14879,texture0_atlas_cell,1 6 8 8,7
rect,#rect14879,texture0_atlas_cell,1 7 8 8,7
rect,#rect14879,texture0_atlas_cell,2 6 8 8,7
rect,#rect14879,texture0_atlas_cell,2 7 8 8,7
rect,#rect14879,texture0_atlas_cell,3 7 8 8,7
rect,#rect30343,step,0.8,1
rect,#rect36349,template,weapon_rack,1
rect,#rect4003,height,3,2
rect,#rect4003,height,8,2
rect,#rect6406,height,1,7
rect,#rect6406,height,2,7
rect,#rect6406,height,4,7
rect,#rect6406,height,5,7
rect,#rect6406,height,6,7
rect,#rect6406,height,7,7
rect,#rect6406,height,8,7
rect,#rect6406,material,BuildingHouse,16
rect,#rect6406,material,BuildingRoofStory1,16
rect,#rect6406,material,BuildingShop1,16
rect,#rect6406,material,BuildingShop1End,16
rect,#rect6406,material,BuildingShop2,16
rect,#rect6406,material,BuildingVilla,16
rect,#rect6406,material,BuildingWhite1,16
rect,#rect6406,material,BuildingWhite1Brick,16
rect,#rect6406,material,BuildingWhite1Busy,16
rect,#rect6406,material,BuildingWhite1Empty1stFloor,16
rect,#rect6406,material,BuildingWhite2,16
rect,#rect6406,material,BuildingWhite2RoofStory1,16
rect,#rect6406,material,BuildingWhite3,16
rect,#rect6406,material,BuildingWhite3Busy,16
rect,#rect6406,material,BuildingWhite3RoofStory1,16
rect,#rect6406,material,BuildingWhite4,16
rect,#rect6406,offset,0 +0.05 0,25
rect,#rect6406,offset,0 +0.1 0,25
rect,#rect6406,offset,0 +0.15 0,25
rect,#rect6406,offset,0 +0.2 0,25
rect,#rect6406,offset,0 -0.02 0,25
rect,#rect6406,offset,0 -0.05 0,25
rect,#rect6406,offset,0 -0.1 0,25
rect,#rect6406,offset,0 -0.15 0,25
rect,#rect6406,offset,0 -0.2 0,25
rect,#rect6406,offset,0 -0.25 0,25
rect,#rect6406,offset,0 -0.3 0,25
rect,#rect6406,offset,0 -0.4 0,25
rect,#rect6406,offset,0 -0.5 0,25
rect,#rect6406,offset,0 -0.7 0,25
rect,#rect6406,offset,0 -1 0,25
rect,#rect6406,offset,0 .1 0,25
rect,#rect6406,offset,0 0.0 0,25
rect,#rect6406,offset,0 0.02 0,25
rect,#rect6406,offset,0 0.025 0,25
rect,#rect6406,offset,0 0.05 0,25
rect,#rect6406,offset,0 0.1 0,25
rect,#rect6406,offset,0 0.1 0.0,25
rect,#rect6406,offset,0 0.15 0,25
rect,#rect6406,offset,0 0.2 0,25
rect,#rect6406,offset,0 0.25 0,25
rect,#rect6406,roof_color_variance,0 0 0,1
rect,#rect6406,roof_type,flat,1
rect,#rect9252,template,parking_line,1
rect,#rect9745,name,burned_ground,1
rect,#rect9745,template,cracks_1,7
rect,#rect9745,template,cracks_2,7
rect,#rect9745,template,cracks_3,7
rect,#rect9745,template,cracks_4,7
rect,#rect9745,template,cracks_5,7
rect,#rect9745,template,cracks_6,7
rect,#rect9745,template,cracks_7,7
rect,#rect9745,texture0,decal_decoration_atlas.png,1
rect,#rect9745,texture0_atlas_cell,0 1 4 4,1
rect,#sign,mode,stand,1
rect,#sign,penetrability,0.5,1
rect,#sign,rect,0.000 0.000 0.252 0.075,23
rect,#sign,rect,0.000 0.077 0.594 0.166,23
rect,#sign,rect,0.000 0.168 0.511 0.251,23
rect,#sign,rect,0.000 0.255 0.417 0.341,23
rect,#sign,rect,0.000 0.343 0.463 0.412,23
rect,#sign,rect,0.000 0.414 0.448 0.493,23
rect,#sign,rect,0.000 0.495 0.304 0.558,23
rect,#sign,rect,0.000 0.563 0.270 0.623,23
rect,#sign,rect,0.000 0.625 0.470 0.684,23
rect,#sign,rect,0.000 0.688 0.443 0.751,23
rect,#sign,rect,0.000 0.753 0.307 0.818,23
rect,#sign,rect,0.000 0.820 0.490 0.907,23
rect,#sign,rect,0.309 0.499 0.497 0.618,23
rect,#sign,rect,0.480 0.648 0.999 0.763,23
rect,#sign,rect,0.492 0.347 0.999 0.455,23
rect,#sign,rect,0.493 0.002 0.999 0.075,23
rect,#sign,rect,0.506 0.458 0.998 0.541,23
rect,#sign,rect,0.511 0.259 1.000 0.346,23
rect,#sign,rect,0.637 0.188 1.000 0.256,23
rect,#sign,rect,0.656 0.081 0.832 0.180,23
rect,#sign,rect,0.662 0.547 0.996 0.641,23
rect,#sign,rect,0.838 0.101 0.999 0.183,23
rect,#sign,rect,0.838 0.101 1.000 0.184,23
rect,#sign,texture,signs.png,1
rect,#spawn1,key,gas_tank.vehicle,1
rect,#spawn1,type,vehicle,1
rect,#spawn2,key,gas_tank.vehicle,1
rect,#spawn2,type,vehicle,1
rect,#spawn3,key,gas_tank.vehicle,1
rect,#spawn3,type,vehicle,1
rect,#spawn4,key,gas_tank.vehicle,1
rect,#spawn4,type,vehicle,1
rect,#spawn5,key,gas_tank.vehicle,1
rect,#spawn5,type,vehicle,1
rect,#spawnrect10748,key,special_crate_wood1.vehicle,1
rect,#spawnrect10748,type,vehicle,1
rect,#surface_config,color,0.14 0.14 0.14,5
rect,#surface_config,color,0.23 0.23 0.23,5
rect,#surface_config,color,0.23 0.26 0.23,5
rect,#surface_config,color,0.32 0.32 0.32,5
rect,#surface_config,color,fill,5
rect,#surface_config,drag,0.15,1
rect,#surface_config,friction,0.15,5
rect,#surface_config,friction,0.18,5
rect,#surface_config,friction,0.2,5
rect,#surface_config,friction,0.25,5
rect,#surface_config,friction,0.3,5
rect,#surface_config,index,1,6
rect,#surface_config,index,2,6
rect,#surface_config,index,3,6
rect,#surface_config,index,4,6
rect,#surface_config,index,5,6
rect,#surface_config,index,6,6
rect,#surface_config,step_dust_size,0.8,1
rect,#surface_config,step_sound,18,15
rect,#surface_config,step_sound,19,15
rect,#surface_config,step_sound,20,15
rect,#surface_config,step_sound,21,15
rect,#surface_config,step_sound,22,15
rect,#surface_config,step_sound,23,15
rect,#surface_config,step_sound,24,15
rect,#surface_config,step_sound,25,15
rect,#surface_config,step_sound,26,15
rect,#surface_config,step_sound,27,15
rect,#surface_config,step_sound,29,15
rect,#surface_config,step_sound,30,15
rect,#surface_config,step_sound,31,15
rect,#surface_config,step_sound,32,15
rect,#surface_config,step_sound,33,15
rect,#surface_config,step_sound_volume,0.14,3
rect,#surface_config,step_sound_volume,0.245,3
rect,#surface_config,step_sound_volume,0.256,3
rect,#surface_config,tag,dirt,2
rect,#surface_config,tag,road,2
rect,#terrain_layer,alpha,terrain5_alpha_asphalt.png,3
rect,#terrain_layer,alpha,terrain5_alpha_grass.png,3
rect,#terrain_layer,alpha,terrain5_alpha_road.png,3
rect,#terrain_layer,auto_decoration_density,0.05,2
rect,#terrain_layer,auto_decoration_density,0.6,2
rect,#terrain_layer,auto_decoration_multiplier,4,1
rect,#terrain_layer,auto_decoration_size,0.15,2
rect,#terrain_layer,auto_decoration_size,0.5,2
rect,#terrain_layer,auto_decoration_texture,ground_decoration.png,1
rect,#terrain_layer,auto_decoration_texture_atlas_cell,0 0 2 2,4
rect,#terrain_layer,auto_decoration_texture_atlas_cell,0 1 2 2,4
rect,#terrain_layer,auto_decoration_texture_atlas_cell,1 0 2 2,4
rect,#terrain_layer,auto_decoration_texture_atlas_cell,1 1 2 2,4
rect,#terrain_layer,index,0,4
rect,#terrain_layer,index,2,4
rect,#terrain_layer,index,3,4
rect,#terrain_layer,index,4,4
rect,#terrain_layer,outline,1,1
rect,#terrain_layer,outline_color,fill,1
rect,#terrain_layer,scale,0.01 0.01,3
rect,#terrain_layer,scale,0.015 0.015,3
rect,#terrain_layer,scale,0.02 0.02,3
rect,#terrain_layer,texture,asphalt.png,4
rect,#terrain_layer,texture,dirt.png,4
rect,#terrain_layer,texture,grass.png,4
rect,#terrain_layer,texture,road.png,4
rect,#wall_template,climb_type,1,1
rect,#wall_template,climbable,0,2
rect,#wall_template,climbable,1,2
rect,#wall_template,color,#6f6555,6
rect,#wall_template,color,#808080,6
rect,#wall_template,color,#dadada,6
rect,#wall_template,color,1.0 1.0 1.0 1.0,6
rect,#wall_template,color,fill,6
rect,#wall_template,color,stroke,6
rect,#wall_template,depth,-1.0,7
rect,#wall_template,depth,0.2,7
rect,#wall_template,depth,0.4,7
rect,#wall_template,depth,0.6,7
rect,#wall_template,depth,0.7,7
rect,#wall_template,depth,0.8,7
rect,#wall_template,depth,1.2,7
rect,#wall_template,hack1,1,1
rect,#wall_template,height,0.0,6
rect,#wall_template,height,1.1,6
rect,#wall_template,height,1.2,6
rect,#wall_template,height,1.3,6
rect,#wall_template,height,2.5,6
rect,#wall_template,height,3.0,6
rect,#wall_template,name,BrickWall1,19
rect,#wall_template,name,BrickWall2,19
rect,#wall_template,name,BrickWall3,19
rect,#wall_template,name,ChurchWall1,19
rect,#wall_template,name,CliffWall2,19
rect,#wall_template,name,DummyWall1,19
rect,#wall_template,name,FarmFence1,19
rect,#wall_template,name,FarmFence2,19
rect,#wall_template,name,GardenWall1,19
rect,#wall_template,name,InvisibleWall1,19
rect,#wall_template,name,PlatformFence1,19
rect,#wall_template,name,PlatformFence2,19
rect,#wall_template,name,RuinWall1,19
rect,#wall_template,name,RuinWall2,19
rect,#wall_template,name,SandbagWall1,19
rect,#wall_template,name,SecurityFence1,19
rect,#wall_template,name,SidePanelWall1,19
rect,#wall_template,name,StoneWall1,19
rect,#wall_template,name,StoneWallCastle1,19
rect,#wall_template,penetrability,0,4
rect,#wall_template,penetrability,0.0,4
rect,#wall_template,penetrability,0.7,4
rect,#wall_template,penetrability,1.0,4
rect,#wall_template,see_through,0,2
rect,#wall_template,see_through,1,2
rect,#wall_template,separator_color,#6f6555,7
rect,#wall_template,separator_color,#808080,7
rect,#wall_template,separator_color,#938c7d,7
rect,#wall_template,separator_color,#dadada,7
rect,#wall_template,separator_color,1.0 1.0 1.0 1.0,7
rect,#wall_template,separator_color,fill,7
rect,#wall_template,separator_color,stroke,7
rect,#wall_template,separator_depth,0.0,6
rect,#wall_template,separator_depth,0.15,6
rect,#wall_template,separator_depth,0.2,6
rect,#wall_template,separator_depth,0.5,6
rect,#wall_template,separator_depth,0.7,6
rect,#wall_template,separator_depth,0.8,6
rect,#wall_template,separator_over_height,0.0,4
rect,#wall_template,separator_over_height,0.2,4
rect,#wall_template,separator_over_height,0.3,4
rect,#wall_template,separator_over_height,0.4,4
rect,#wall_template,separator_side_texture,none,2
rect,#wall_template,separator_side_texture,wall_atlas1.png,2
rect,#wall_template,separator_side_texture_atlas_cell,0 3 8 8 0.0078125,8
rect,#wall_template,separator_side_texture_atlas_cell,2 0 8 8 0.0078125,8
rect,#wall_template,separator_side_texture_atlas_cell,2 0 8 8 0.0078125 0.0078125,8
rect,#wall_template,separator_side_texture_atlas_cell,2 1 4 4 0.015625 0.015625,8
rect,#wall_template,separator_side_texture_atlas_cell,2 1 4 4 0.03125 0.015625,8
rect,#wall_template,separator_side_texture_atlas_cell,2 1 8 8 0.0078125 0.0078125,8
rect,#wall_template,separator_side_texture_atlas_cell,6 3 16 8 0.015625 0.0078125,8
rect,#wall_template,separator_side_texture_atlas_cell,6 3 8 4 0.03125 0.015625,8
rect,#wall_template,separator_side_texture_scale,0.15 1.0,7
rect,#wall_template,separator_side_texture_scale,0.2 1.0,7
rect,#wall_template,separator_side_texture_scale,0.6 2.65,7
rect,#wall_template,separator_side_texture_scale,0.8 1.0,7
rect,#wall_template,separator_side_texture_scale,1.0 1.0,7
rect,#wall_template,separator_side_texture_scale,2.0 2.0,7
rect,#wall_template,separator_side_texture_scale,3 3,7
rect,#wall_template,separator_texture_scale,3 3,1
rect,#wall_template,separator_top_texture,none,2
rect,#wall_template,separator_top_texture,wall_atlas1.png,2
rect,#wall_template,separator_top_texture_atlas_cell,0 3 8 8 0.0078125,8
rect,#wall_template,separator_top_texture_atlas_cell,2 1 4 4 0.015625 0.015625,8
rect,#wall_template,separator_top_texture_atlas_cell,2 1 4 4 0.03125 0.03125,8
rect,#wall_template,separator_top_texture_atlas_cell,2 1 8 8 0.0078125 0.0078125,8
rect,#wall_template,separator_top_texture_atlas_cell,2 4 8 16 0.0078125 0.015625,8
rect,#wall_template,separator_top_texture_atlas_cell,6 5 16 16 0.015625,8
rect,#wall_template,separator_top_texture_atlas_cell,6 5 16 16 0.015625 0.015625,8
rect,#wall_template,separator_top_texture_atlas_cell,6 5 8 8 0.03125 0.03125,8
rect,#wall_template,separator_top_texture_scale,0.15 1.0,8
rect,#wall_template,separator_top_texture_scale,0.2 1.0,8
rect,#wall_template,separator_top_texture_scale,0.5 0.5,8
rect,#wall_template,separator_top_texture_scale,0.6 0.6,8
rect,#wall_template,separator_top_texture_scale,0.8 1.0,8
rect,#wall_template,separator_top_texture_scale,1.0 1.0,8
rect,#wall_template,separator_top_texture_scale,2.0 1.0,8
rect,#wall_template,separator_top_texture_scale,3 3,8
rect,#wall_template,side_cutout_texture,cutout.png,1
rect,#wall_template,side_cutout_texture_channel,1,2
rect,#wall_template,side_cutout_texture_channel,2,2
rect,#wall_template,side_cutout_texture_scale,10 10,5
rect,#wall_template,side_cutout_texture_scale,15 15,5
rect,#wall_template,side_cutout_texture_scale,25 25,5
rect,#wall_template,side_cutout_texture_scale,30 30,5
rect,#wall_template,side_cutout_texture_scale,40 8,5
rect,#wall_template,side_texture,fence_atlas1.png,3
rect,#wall_template,side_texture,none,3
rect,#wall_template,side_texture,wall_atlas1.png,3
rect,#wall_template,side_texture_atlas_cell,0 0 4 4 0.015625,10
rect,#wall_template,side_texture_atlas_cell,0 0 8 8 0.0078125,10
rect,#wall_template,side_texture_atlas_cell,0 1 4 4 0.015625,10
rect,#wall_template,side_texture_atlas_cell,0 1 8 8 0.0078125 0.0078125,10
rect,#wall_template,side_texture_atlas_cell,0 3 8 8 0.0078125,10
rect,#wall_template,side_texture_atlas_cell,1 0 4 4 0.015625,10
rect,#wall_template,side_texture_atlas_cell,1 0 8 8 0.0078125,10
rect,#wall_template,side_texture_atlas_cell,1 1 2 2,10
rect,#wall_template,side_texture_atlas_cell,2 0 4 4 0.015625,10
rect,#wall_template,side_texture_atlas_cell,2 0 8 8 0.0078125,10
rect,#wall_template,side_texture_scale,1.2 1.2,8
rect,#wall_template,side_texture_scale,1.25 1.25,8
rect,#wall_template,side_texture_scale,2.0 1.25,8
rect,#wall_template,side_texture_scale,2.0 2.0,8
rect,#wall_template,side_texture_scale,2.65 2.65,8
rect,#wall_template,side_texture_scale,3.0 3.0,8
rect,#wall_template,side_texture_scale,4.0 4.0,8
rect,#wall_template,side_texture_scale,6.0 6.0,8
rect,#wall_template,static_object_type_key,security_fence.static_object,2
rect,#wall_template,static_object_type_key,wood_fence.static_object,2
rect,#wall_template,top_texture,wall_atlas1.png,1
rect,#wall_template,top_texture_atlas_cell,0 3 8 8 0.0078125,5
rect,#wall_template,top_texture_atlas_cell,0 4 4 8 0.015625 0.03125,5
rect,#wall_template,top_texture_atlas_cell,0 4 8 16 0.0078125 0.015625,5
rect,#wall_template,top_texture_atlas_cell,1 8 8 16 0.0078125 0.015625,5
rect,#wall_template,top_texture_atlas_cell,2 4 8 16 0.0078125 0.015625,5
rect,#wall_template,top_texture_scale,2.0 0.4,7
rect,#wall_template,top_texture_scale,2.0 1.0,7
rect,#wall_template,top_texture_scale,2.0 2.0,7
rect,#wall_template,top_texture_scale,2.65 2.65,7
rect,#wall_template,top_texture_scale,5.0 0.4,7
rect,#wall_template,top_texture_scale,6.0 0.4,7
rect,#wall_template,top_texture_scale,6.0 1.0,7
rect,#wall_template,vertex_noise,0.7,1
rect,无label,cord_offset1,-0.5 0 0,2
rect,无label,cord_offset1,0 +0.6 0,2
rect,无label,cord_offset2,-0.5 0 0,2
rect,无label,cord_offset2,-1.5 0 0,2
rect,无label,cord_offset3,+0.5 0 0,1
rect,无label,cord_offset4,+1.5 0 0,1
rect,无label,height,8,1
rect,无label,key,aa_emplacement.vehicle,47
rect,无label,key,armored_truck.vehicle,47
rect,无label,key,deco_car1_black.vehicle,47
rect,无label,key,deco_car1_blue.vehicle,47
rect,无label,key,deco_car1_brown.vehicle,47
rect,无label,key,deco_car1_green.vehicle,47
rect,无label,key,deco_car1_pink.vehicle,47
rect,无label,key,deco_car1_red.vehicle,47
rect,无label,key,deco_car1_white.vehicle,47
rect,无label,key,deco_car1_yellow.vehicle,47
rect,无label,key,deco_car2_black.vehicle,47
rect,无label,key,deco_car2_blue.vehicle,47
rect,无label,key,deco_car2_brown.vehicle,47
rect,无label,key,deco_car2_green.vehicle,47
rect,无label,key,deco_car2_grey.vehicle,47
rect,无label,key,deco_car2_red.vehicle,47
rect,无label,key,deco_car2_silver.vehicle,47
rect,无label,key,deco_car2_white.vehicle,47
rect,无label,key,deco_car2_yellow.vehicle,47
rect,无label,key,deco_car3_black.vehicle,47
rect,无label,key,deco_car3_blue.vehicle,47
rect,无label,key,deco_car3_green.vehicle,47
rect,无label,key,deco_car3_red.vehicle,47
rect,无label,key,deco_car3_sky.vehicle,47
rect,无label,key,deco_car3_yellow.vehicle,47
rect,无label,key,deco_pickup_blue.vehicle,47
rect,无label,key,deco_pickup_green.vehicle,47
rect,无label,key,deco_pickup_khaki.vehicle,47
rect,无label,key,deco_pickup_red.vehicle,47
rect,无label,key,deco_pickup_yellow.vehicle,47
rect,无label,key,deco_van_blue.vehicle,47
rect,无label,key,deco_van_brown.vehicle,47
rect,无label,key,deco_van_green.vehicle,47
rect,无label,key,deco_van_khaki.vehicle,47
rect,无label,key,deco_van_red.vehicle,47
rect,无label,key,deco_van_sky.vehicle,47
rect,无label,key,deco_van_yellow.vehicle,47
rect,无label,key,dumpster.vehicle,47
rect,无label,key,medivan.vehicle,47
rect,无label,key,mobile_armory.vehicle,47
rect,无label,key,mortar_ammunition_crates.vehicle,47
rect,无label,key,prison_bus.vehicle,47
rect,无label,key,radar_tank.vehicle,47
rect,无label,key,radar_truck.vehicle,47
rect,无label,key,rubber_boat.vehicle,47
rect,无label,key,special_cargo_vehicle1.vehicle,47
rect,无label,key,water_tower.vehicle,47
rect,无label,mesh_template,post1_3,19
rect,无label,mesh_template,post1_4,19
rect,无label,mesh_template,rock_b1,19
rect,无label,mesh_template,rock_b2,19
rect,无label,mesh_template,rock_b3,19
rect,无label,mesh_template,rock_b4,19
rect,无label,mesh_template,rock_m1,19
rect,无label,mesh_template,rock_m2,19
rect,无label,mesh_template,rock_m3,19
rect,无label,mesh_template,rock_m4,19
rect,无label,mesh_template,rock_s1,19
rect,无label,mesh_template,rock_s2,19
rect,无label,mesh_template,rock_s3,19
rect,无label,mesh_template,rock_s4,19
rect,无label,mesh_template,stone_1,19
rect,无label,mesh_template,stone_2,19
rect,无label,mesh_template,stone_3,19
rect,无label,mesh_template,stone_4,19
rect,无label,mesh_template,stone_5,19
rect,无label,name,post1_3,4
rect,无label,name,post1_4,4
rect,无label,name,rock1,4
rect,无label,name,stone1,4
rect,无label,tag,apc,7
rect,无label,tag,darkcat,7
rect,无label,tag,fixed_crate,7
rect,无label,tag,icecream,7
rect,无label,tag,jeep,7
rect,无label,tag,random_crate,7
rect,无label,tag,truck,7
rect,无label,template,weapon_rack,1
rect,无label,type,stash,3
rect,无label,type,vehicle,3
rect,无label,type,weapon_rack,3
svg,无label,apartment1_1st_floor_door,"1,3",1
svg,无label,apartment1_1st_floor_door_wide1_l,"2,3",1
svg,无label,apartment1_1st_floor_door_wide1_r,"3,3",1
svg,无label,apartment1_1st_floor_empty,"5,3",1
svg,无label,apartment1_1st_floor_poster_wide1_l,"6,3",1
svg,无label,apartment1_1st_floor_poster_wide1_r,"7,3",1
svg,无label,apartment1_1st_floor_window,"4,3",1
svg,无label,apartment1_small_window,"0,3",1
svg,无label,apartment1_window,"1,0 2,0 3,0 4,0 5,0 6,0 7,0",1
svg,无label,apartment1_window_wide1_l,"0,2 2,2",1
svg,无label,apartment1_window_wide1_r,"1,2 3,2",1
svg,无label,apartment1_window_wide2_l,"4,2 6,2",1
svg,无label,apartment1_window_wide2_r,"5,2 7,2",1
svg,无label,empty,"0,0",1
svg,无label,house_door,"2,0",1
svg,无label,house_empty,"0,0",1
